,state,state_code,state_name,county_code,county,Visited,date
1,AL,1,Alabama,1,Autauga County,0,
2,AL,1,Alabama,3,Baldwin County,0,
3,AL,1,Alabama,5,Barbour County,0,
4,AL,1,Alabama,7,Bibb County,0,
5,AL,1,Alabama,9,Blount County,0,
6,AL,1,Alabama,11,Bullock County,0,
7,AL,1,Alabama,13,Butler County,0,
8,AL,1,Alabama,15,Calhoun County,0,
9,AL,1,Alabama,17,Chambers County,0,
10,AL,1,Alabama,19,Cherokee County,0,
11,AL,1,Alabama,21,Chilton County,0,
12,AL,1,Alabama,23,Choctaw County,0,
13,AL,1,Alabama,25,Clarke County,0,
14,AL,1,Alabama,27,Clay County,0,
15,AL,1,Alabama,29,Cleburne County,0,
16,AL,1,Alabama,31,Coffee County,0,
17,AL,1,Alabama,33,Colbert County,0,
18,AL,1,Alabama,35,Conecuh County,0,
19,AL,1,Alabama,37,Coosa County,0,
20,AL,1,Alabama,39,Covington County,0,
21,AL,1,Alabama,41,Crenshaw County,0,
22,AL,1,Alabama,43,Cullman County,0,
23,AL,1,Alabama,45,Dale County,0,
24,AL,1,Alabama,47,Dallas County,0,
25,AL,1,Alabama,49,DeKalb County,0,
26,AL,1,Alabama,51,Elmore County,0,
27,AL,1,Alabama,53,Escambia County,0,
28,AL,1,Alabama,55,Etowah County,0,
29,AL,1,Alabama,57,Fayette County,0,
30,AL,1,Alabama,59,Franklin County,0,
31,AL,1,Alabama,61,Geneva County,0,
32,AL,1,Alabama,63,Greene County,0,
33,AL,1,Alabama,65,Hale County,0,
34,AL,1,Alabama,67,Henry County,0,
35,AL,1,Alabama,69,Houston County,0,
36,AL,1,Alabama,71,Jackson County,0,
310,CT,9,Connecticut,1,Fairfield County,1,
38,AL,1,Alabama,75,Lamar County,0,
39,AL,1,Alabama,77,Lauderdale County,0,
40,AL,1,Alabama,79,Lawrence County,0,
41,AL,1,Alabama,81,Lee County,0,
42,AL,1,Alabama,83,Limestone County,0,
43,AL,1,Alabama,85,Lowndes County,0,
44,AL,1,Alabama,87,Macon County,0,
45,AL,1,Alabama,89,Madison County,0,
46,AL,1,Alabama,91,Marengo County,0,
47,AL,1,Alabama,93,Marion County,0,
48,AL,1,Alabama,95,Marshall County,0,
49,AL,1,Alabama,97,Mobile County,0,
50,AL,1,Alabama,99,Monroe County,0,
51,AL,1,Alabama,101,Montgomery County,0,
52,AL,1,Alabama,103,Morgan County,0,
53,AL,1,Alabama,105,Perry County,0,
54,AL,1,Alabama,107,Pickens County,0,
55,AL,1,Alabama,109,Pike County,0,
56,AL,1,Alabama,111,Randolph County,0,
57,AL,1,Alabama,113,Russell County,0,
58,AL,1,Alabama,115,St. Clair County,0,
59,AL,1,Alabama,117,Shelby County,0,
60,AL,1,Alabama,119,Sumter County,0,
61,AL,1,Alabama,121,Talladega County,0,
62,AL,1,Alabama,123,Tallapoosa County,0,
63,AL,1,Alabama,125,Tuscaloosa County,0,
64,AL,1,Alabama,127,Walker County,0,
65,AL,1,Alabama,129,Walker County,0,
66,AL,1,Alabama,131,Wilcox County,0,
67,AL,1,Alabama,133,Winston County,0,
68,AK,2,Alaska,13,Aleutians East Borough,0,
69,AK,2,Alaska,16,Aleutians West Census Area,0,
70,AK,2,Alaska,20,Anchorage Municipality,0,
71,AK,2,Alaska,50,Bethel Census Area,0,
72,AK,2,Alaska,60,Bristol Bay Borough,0,
73,AK,2,Alaska,68,Denali Borough,0,
74,AK,2,Alaska,70,Dillingham Census Area,0,
75,AK,2,Alaska,90,Fairbanks North Star Borough,0,
76,AK,2,Alaska,100,Haines Borough,0,
77,AK,2,Alaska,105,Hoonah-Angoon Census Area,0,
78,AK,2,Alaska,110,Juneau City and Borough,0,
79,AK,2,Alaska,122,Kenai Peninsula Borough,0,
80,AK,2,Alaska,130,Ketchikan Gateway Borough,0,
81,AK,2,Alaska,150,Kodiak Island Borough,0,
82,AK,2,Alaska,158,Kusilvak Census Area,0,
83,AK,2,Alaska,164,Lake and Peninsula Borough,0,
84,AK,2,Alaska,170,Matanuska-Susitna Borough,0,
85,AK,2,Alaska,180,Nome Census Area,0,
86,AK,2,Alaska,185,North Slope Borough,0,
87,AK,2,Alaska,188,Northwest Arctic Borough,0,
88,AK,2,Alaska,195,Petersburg Census Area,0,
89,AK,2,Alaska,198,Prince of Wales-Hyder Census Area,0,
90,AK,2,Alaska,220,Sitka City and Borough,0,
91,AK,2,Alaska,230,Skagway Municipality,0,
92,AK,2,Alaska,240,Southeast Fairbanks Census Area,0,
93,AK,2,Alaska,261,Valdez-Cordova Census Area,0,
94,AK,2,Alaska,270,Wade Hampton Census Area,0,
95,AK,2,Alaska,275,Wrangell City and Borough,0,
96,AK,2,Alaska,282,Yakutat City and Borough,0,
97,AK,2,Alaska,290,Yukon-Koyukuk Census Area,0,
98,AZ,4,Arizona,1,Apache County,0,
99,AZ,4,Arizona,3,Cochise County,0,
100,AZ,4,Arizona,5,Coconino County,0,
101,AZ,4,Arizona,7,Gila County,0,
102,AZ,4,Arizona,9,Graham County,0,
103,AZ,4,Arizona,11,Greenlee County,0,
104,AZ,4,Arizona,12,La Paz County,0,
318,DE,10,Delaware,1,Kent County,1,
106,AZ,4,Arizona,15,Mohave County,0,
107,AZ,4,Arizona,17,Navajo County,0,
108,AZ,4,Arizona,19,Pima County,0,
109,AZ,4,Arizona,21,Pinal County,0,
110,AZ,4,Arizona,23,Santa Cruz County,0,
111,AZ,4,Arizona,25,Yavapai County,0,
112,AZ,4,Arizona,27,Yuma County,0,
113,AR,5,Arkansas,1,Arkansas County,0,
114,AR,5,Arkansas,3,Ashley County,0,
115,AR,5,Arkansas,5,Baxter County,0,
116,AR,5,Arkansas,7,Benton County,0,
117,AR,5,Arkansas,9,Boone County,0,
118,AR,5,Arkansas,11,Bradley County,0,
119,AR,5,Arkansas,13,Calhoun County,0,
120,AR,5,Arkansas,15,Carroll County,0,
121,AR,5,Arkansas,17,Chicot County,0,
122,AR,5,Arkansas,19,Clark County,0,
123,AR,5,Arkansas,21,Clay County,0,
124,AR,5,Arkansas,23,Cleburne County,0,
125,AR,5,Arkansas,25,Cleveland County,0,
126,AR,5,Arkansas,27,Columbia County,0,
127,AR,5,Arkansas,29,Conway County,0,
128,AR,5,Arkansas,31,Craighead County,0,
129,AR,5,Arkansas,33,Crawford County,0,
130,AR,5,Arkansas,35,Crittenden County,0,
131,AR,5,Arkansas,37,Cross County,0,
132,AR,5,Arkansas,39,Dallas County,0,
133,AR,5,Arkansas,41,Desha County,0,
134,AR,5,Arkansas,43,Drew County,0,
135,AR,5,Arkansas,45,Faulkner County,0,
136,AR,5,Arkansas,47,Franklin County,0,
137,AR,5,Arkansas,49,Fulton County,0,
138,AR,5,Arkansas,51,Garland County,0,
139,AR,5,Arkansas,53,Grant County,0,
140,AR,5,Arkansas,55,Greene County,0,
141,AR,5,Arkansas,57,Hempstead County,0,
142,AR,5,Arkansas,59,Hot Spring County,0,
143,AR,5,Arkansas,61,Howard County,0,
144,AR,5,Arkansas,63,Independence County,0,
145,AR,5,Arkansas,65,Izard County,0,
146,AR,5,Arkansas,67,Jackson County,0,
147,AR,5,Arkansas,69,Jefferson County,0,
148,AR,5,Arkansas,71,Johnson County,0,
149,AR,5,Arkansas,73,Lafayette County,0,
150,AR,5,Arkansas,75,Lawrence County,0,
151,AR,5,Arkansas,77,Lee County,0,
152,AR,5,Arkansas,79,Lincoln County,0,
153,AR,5,Arkansas,81,Little River County,0,
154,AR,5,Arkansas,83,Logan County,0,
155,AR,5,Arkansas,85,Lonoke County,0,
156,AR,5,Arkansas,87,Madison County,0,
157,AR,5,Arkansas,89,Marion County,0,
158,AR,5,Arkansas,91,Miller County,0,
159,AR,5,Arkansas,93,Mississippi County,0,
160,AR,5,Arkansas,95,Monroe County,0,
161,AR,5,Arkansas,97,Montgomery County,0,
162,AR,5,Arkansas,99,Nevada County,0,
163,AR,5,Arkansas,101,Newton County,0,
164,AR,5,Arkansas,103,Ouachita County,0,
165,AR,5,Arkansas,105,Perry County,0,
166,AR,5,Arkansas,107,Phillips County,0,
167,AR,5,Arkansas,109,Pike County,0,
168,AR,5,Arkansas,111,Poinsett County,0,
169,AR,5,Arkansas,113,Polk County,0,
170,AR,5,Arkansas,115,Pope County,0,
171,AR,5,Arkansas,117,Prairie County,0,
172,AR,5,Arkansas,119,Pulaski County,0,
173,AR,5,Arkansas,121,Randolph County,0,
174,AR,5,Arkansas,123,St. Francis County,0,
175,AR,5,Arkansas,125,Saline County,0,
176,AR,5,Arkansas,127,Scott County,0,
177,AR,5,Arkansas,129,Searcy County,0,
178,AR,5,Arkansas,131,Sebastian County,0,
179,AR,5,Arkansas,133,Sevier County,0,
180,AR,5,Arkansas,135,Sharp County,0,
181,AR,5,Arkansas,137,Stone County,0,
182,AR,5,Arkansas,139,Union County,0,
183,AR,5,Arkansas,141,Van Buren County,0,
184,AR,5,Arkansas,143,Washington County,0,
185,AR,5,Arkansas,145,White County,0,
186,AR,5,Arkansas,147,Woodruff County,0,
187,AR,5,Arkansas,149,Yell County,0,
188,CA,6,California,1,Alameda County,0,
189,CA,6,California,3,Alpine County,0,
190,CA,6,California,5,Amador County,0,
191,CA,6,California,7,Butte County,0,
192,CA,6,California,9,Calaveras County,0,
193,CA,6,California,11,Colusa County,0,
194,CA,6,California,13,Contra Costa County,0,
195,CA,6,California,15,Del Norte County,0,
196,CA,6,California,17,El Dorado County,0,
197,CA,6,California,19,Fresno County,0,
198,CA,6,California,21,Glenn County,0,
199,CA,6,California,23,Humboldt County,0,
200,CA,6,California,25,Imperial County,0,
201,CA,6,California,27,Inyo County,0,
202,CA,6,California,29,Kern County,0,
203,CA,6,California,31,Kings County,0,
204,CA,6,California,33,Lake County,0,
205,CA,6,California,35,Lassen County,0,
1219,MA,25,Massachusetts,1,Barnstable County,1,
207,CA,6,California,39,Madera County,0,
208,CA,6,California,41,Marin County,0,
209,CA,6,California,43,Mariposa County,0,
210,CA,6,California,45,Mendocino County,0,
211,CA,6,California,47,Merced County,0,
212,CA,6,California,49,Modoc County,0,
213,CA,6,California,51,Mono County,0,
214,CA,6,California,53,Monterey County,0,
215,CA,6,California,55,Napa County,0,
216,CA,6,California,57,Nevada County,0,
217,CA,6,California,59,Orange County,0,
218,CA,6,California,61,Placer County,0,
219,CA,6,California,63,Plumas County,0,
220,CA,6,California,65,Riverside County,0,
221,CA,6,California,67,Sacramento County,0,
222,CA,6,California,69,San Benito County,0,
223,CA,6,California,71,San Bernardino County,0,
224,CA,6,California,73,San Diego County,0,
225,CA,6,California,75,San Francisco County,0,
226,CA,6,California,77,San Joaquin County,0,
227,CA,6,California,79,San Luis Obispo County,0,
228,CA,6,California,81,San Mateo County,0,
229,CA,6,California,83,Santa Barbara County,0,
230,CA,6,California,85,Santa Clara County,0,
231,CA,6,California,87,Santa Cruz County,0,
232,CA,6,California,89,Shasta County,0,
233,CA,6,California,91,Sierra County,0,
234,CA,6,California,93,Siskiyou County,0,
235,CA,6,California,95,Solano County,0,
236,CA,6,California,97,Sonoma County,0,
237,CA,6,California,99,Stanislaus County,0,
238,CA,6,California,101,Sutter County,0,
239,CA,6,California,103,Tehama County,0,
240,CA,6,California,105,Trinity County,0,
241,CA,6,California,107,Tulare County,0,
242,CA,6,California,109,Tuolumne County,0,
243,CA,6,California,111,Ventura County,0,
244,CA,6,California,113,Yolo County,0,
245,CA,6,California,115,Yuba County,0,
246,CO,8,Colorado,1,Adams County,0,
247,CO,8,Colorado,3,Alamosa County,0,
248,CO,8,Colorado,5,Arapahoe County,0,
249,CO,8,Colorado,7,Archuleta County,0,
250,CO,8,Colorado,9,Baca County,0,
251,CO,8,Colorado,11,Bent County,0,
252,CO,8,Colorado,13,Boulder County,0,
253,CO,8,Colorado,14,Broomfield County,0,
254,CO,8,Colorado,15,Chaffee County,0,
255,CO,8,Colorado,17,Cheyenne County,0,
256,CO,8,Colorado,19,Clear Creek County,0,
257,CO,8,Colorado,21,Conejos County,0,
258,CO,8,Colorado,23,Costilla County,0,
259,CO,8,Colorado,25,Crowley County,0,
260,CO,8,Colorado,27,Custer County,0,
261,CO,8,Colorado,29,Delta County,0,
262,CO,8,Colorado,31,Denver County,0,
263,CO,8,Colorado,33,Dolores County,0,
264,CO,8,Colorado,35,Douglas County,0,
265,CO,8,Colorado,37,Eagle County,0,
266,CO,8,Colorado,39,Elbert County,0,
267,CO,8,Colorado,41,El Paso County,0,
268,CO,8,Colorado,43,Fremont County,0,
269,CO,8,Colorado,45,Garfield County,0,
270,CO,8,Colorado,47,Gilpin County,0,
271,CO,8,Colorado,49,Grand County,0,
272,CO,8,Colorado,51,Gunnison County,0,
273,CO,8,Colorado,53,Hinsdale County,0,
274,CO,8,Colorado,55,Huerfano County,0,
275,CO,8,Colorado,57,Jackson County,0,
276,CO,8,Colorado,59,Jefferson County,0,
277,CO,8,Colorado,61,Kiowa County,0,
278,CO,8,Colorado,63,Kit Carson County,0,
279,CO,8,Colorado,65,Lake County,0,
280,CO,8,Colorado,67,La Plata County,0,
281,CO,8,Colorado,69,Larimer County,0,
282,CO,8,Colorado,71,Las Animas County,0,
283,CO,8,Colorado,73,Lincoln County,0,
284,CO,8,Colorado,75,Logan County,0,
285,CO,8,Colorado,77,Mesa County,0,
286,CO,8,Colorado,79,Mineral County,0,
287,CO,8,Colorado,81,Moffat County,0,
288,CO,8,Colorado,83,Montezuma County,0,
289,CO,8,Colorado,85,Montrose County,0,
290,CO,8,Colorado,87,Morgan County,0,
291,CO,8,Colorado,89,Otero County,0,
292,CO,8,Colorado,91,Ouray County,0,
293,CO,8,Colorado,93,Park County,0,
294,CO,8,Colorado,95,Phillips County,0,
295,CO,8,Colorado,97,Pitkin County,0,
296,CO,8,Colorado,99,Prowers County,0,
297,CO,8,Colorado,101,Pueblo County,0,
298,CO,8,Colorado,103,Rio Blanco County,0,
299,CO,8,Colorado,105,Rio Grande County,0,
300,CO,8,Colorado,107,Routt County,0,
301,CO,8,Colorado,109,Saguache County,0,
302,CO,8,Colorado,111,San Juan County,0,
303,CO,8,Colorado,113,San Miguel County,0,
304,CO,8,Colorado,115,Sedgwick County,0,
305,CO,8,Colorado,117,Summit County,0,
306,CO,8,Colorado,119,Teller County,0,
307,CO,8,Colorado,121,Washington County,0,
308,CO,8,Colorado,123,Weld County,0,
309,CO,8,Colorado,125,Yuma County,0,
1766,NH,33,New Hampshire,1,Belknap County,1,
1830,NY,36,New York,1,Albany County,1,
1892,NC,37,North Carolina,1,Alamance County,1,
2246,PA,42,Pennsylvania,1,Adams County,1,
2313,RI,44,Rhode Island,1,Bristol County,1,
2809,VT,50,Vermont,1,Addison County,1,
2823,VA,51,Virginia,1,Accomack County,1,
311,CT,9,Connecticut,3,Hartford County,1,
319,DE,10,Delaware,3,New Castle County,1,
1220,MA,25,Massachusetts,3,Berkshire County,1,
1750,NV,32,Nevada,3,Clark County,1,
321,DC,11,District of Columbia,1,District of Columbia,0,
322,FL,12,Florida,1,Alachua County,0,
323,FL,12,Florida,3,Baker County,0,
324,FL,12,Florida,5,Bay County,0,
325,FL,12,Florida,7,Bradford County,0,
1767,NH,33,New Hampshire,3,Carroll County,1,
1777,NJ,34,New Jersey,3,Bergen County,1,
328,FL,12,Florida,13,Calhoun County,0,
329,FL,12,Florida,15,Charlotte County,0,
330,FL,12,Florida,17,Citrus County,0,
331,FL,12,Florida,19,Clay County,0,
1893,NC,37,North Carolina,3,Alexander County,1,
333,FL,12,Florida,23,Columbia County,0,
334,FL,12,Florida,27,DeSoto County,0,
335,FL,12,Florida,29,Dixie County,0,
2247,PA,42,Pennsylvania,3,Allegheny County,1,
337,FL,12,Florida,33,Escambia County,0,
2314,RI,44,Rhode Island,3,Kent County,1,
339,FL,12,Florida,37,Franklin County,0,
340,FL,12,Florida,39,Gadsden County,0,
341,FL,12,Florida,41,Gilchrist County,0,
342,FL,12,Florida,43,Glades County,0,
343,FL,12,Florida,45,Gulf County,0,
344,FL,12,Florida,47,Hamilton County,0,
345,FL,12,Florida,49,Hardee County,0,
346,FL,12,Florida,51,Hendry County,0,
347,FL,12,Florida,53,Hernando County,0,
348,FL,12,Florida,55,Highlands County,0,
349,FL,12,Florida,57,Hillsborough County,0,
350,FL,12,Florida,59,Holmes County,0,
351,FL,12,Florida,61,Indian River County,0,
352,FL,12,Florida,63,Jackson County,0,
353,FL,12,Florida,65,Jefferson County,0,
354,FL,12,Florida,67,Lafayette County,0,
355,FL,12,Florida,69,Lake County,0,
2781,UT,49,Utah,3,Box Elder County,1,5/24/2019
357,FL,12,Florida,73,Leon County,0,
358,FL,12,Florida,75,Levy County,0,
359,FL,12,Florida,77,Liberty County,0,
360,FL,12,Florida,79,Madison County,0,
361,FL,12,Florida,81,Manatee County,0,
362,FL,12,Florida,83,Marion County,0,
363,FL,12,Florida,85,Martin County,0,
2810,VT,50,Vermont,3,Bennington County,1,
2824,VA,51,Virginia,3,Albemarle County,1,
2997,WV,54,West Virginia,3,Berkeley County,1,
367,FL,12,Florida,91,Okaloosa County,0,
368,FL,12,Florida,93,Okeechobee County,0,
312,CT,9,Connecticut,5,Litchfield County,1,
370,FL,12,Florida,97,Osceola County,0,
371,FL,12,Florida,99,Palm Beach County,0,
372,FL,12,Florida,101,Pasco County,0,
373,FL,12,Florida,103,Pinellas County,0,
374,FL,12,Florida,105,Polk County,0,
375,FL,12,Florida,107,Putnam County,0,
320,DE,10,Delaware,5,Sussex County,1,
377,FL,12,Florida,111,St. Lucie County,0,
378,FL,12,Florida,113,Santa Rosa County,0,
379,FL,12,Florida,115,Sarasota County,0,
380,FL,12,Florida,117,Seminole County,0,
381,FL,12,Florida,119,Sumter County,0,
382,FL,12,Florida,121,Suwannee County,0,
383,FL,12,Florida,123,Taylor County,0,
384,FL,12,Florida,125,Union County,0,
1181,ME,23,Maine,5,Cumberland County,1,
386,FL,12,Florida,129,Wakulla County,0,
387,FL,12,Florida,131,Walton County,0,
388,FL,12,Florida,133,Washington County,0,
389,GA,13,Georgia,1,Appling County,0,
390,GA,13,Georgia,3,Atkinson County,0,
391,GA,13,Georgia,5,Bacon County,0,
392,GA,13,Georgia,7,Baker County,0,
393,GA,13,Georgia,9,Baldwin County,0,
394,GA,13,Georgia,11,Banks County,0,
395,GA,13,Georgia,13,Barrow County,0,
396,GA,13,Georgia,15,Bartow County,0,
397,GA,13,Georgia,17,Ben Hill County,0,
398,GA,13,Georgia,19,Berrien County,0,
399,GA,13,Georgia,21,Bibb County,0,
400,GA,13,Georgia,23,Bleckley County,0,
401,GA,13,Georgia,25,Brantley County,0,
402,GA,13,Georgia,27,Brooks County,0,
1197,MD,24,Maryland,5,Baltimore County,1,
404,GA,13,Georgia,31,Bulloch County,0,
405,GA,13,Georgia,33,Burke County,0,
406,GA,13,Georgia,35,Butts County,0,
407,GA,13,Georgia,37,Calhoun County,0,
1221,MA,25,Massachusetts,5,Bristol County,1,
409,GA,13,Georgia,43,Candler County,0,
410,GA,13,Georgia,45,Carroll County,0,
411,GA,13,Georgia,47,Catoosa County,0,
412,GA,13,Georgia,49,Charlton County,0,
1768,NH,33,New Hampshire,5,Cheshire County,1,
414,GA,13,Georgia,53,Chattahoochee County,0,
415,GA,13,Georgia,55,Chattooga County,0,
416,GA,13,Georgia,57,Cherokee County,0,
417,GA,13,Georgia,59,Clarke County,0,
418,GA,13,Georgia,61,Clay County,0,
419,GA,13,Georgia,63,Clayton County,0,
420,GA,13,Georgia,65,Clinch County,0,
421,GA,13,Georgia,67,Cobb County,0,
422,GA,13,Georgia,69,Coffee County,0,
423,GA,13,Georgia,71,Colquitt County,0,
424,GA,13,Georgia,73,Columbia County,0,
425,GA,13,Georgia,75,Cook County,0,
426,GA,13,Georgia,77,Coweta County,0,
427,GA,13,Georgia,79,Crawford County,0,
428,GA,13,Georgia,81,Crisp County,0,
429,GA,13,Georgia,83,Dade County,0,
430,GA,13,Georgia,85,Dawson County,0,
431,GA,13,Georgia,87,Decatur County,0,
432,GA,13,Georgia,89,DeKalb County,0,
433,GA,13,Georgia,91,Dodge County,0,
434,GA,13,Georgia,93,Dooly County,0,
435,GA,13,Georgia,95,Dougherty County,0,
436,GA,13,Georgia,97,Douglas County,0,
437,GA,13,Georgia,99,Early County,0,
438,GA,13,Georgia,101,Echols County,0,
439,GA,13,Georgia,103,Effingham County,0,
440,GA,13,Georgia,105,Elbert County,0,
441,GA,13,Georgia,107,Emanuel County,0,
442,GA,13,Georgia,109,Evans County,0,
443,GA,13,Georgia,111,Fannin County,0,
444,GA,13,Georgia,113,Fayette County,0,
445,GA,13,Georgia,115,Floyd County,0,
446,GA,13,Georgia,117,Forsyth County,0,
447,GA,13,Georgia,119,Franklin County,0,
448,GA,13,Georgia,121,Fulton County,0,
449,GA,13,Georgia,123,Gilmer County,0,
450,GA,13,Georgia,125,Glascock County,0,
1778,NJ,34,New Jersey,5,Burlington County,1,
452,GA,13,Georgia,129,Gordon County,0,
453,GA,13,Georgia,131,Grady County,0,
454,GA,13,Georgia,133,Greene County,0,
455,GA,13,Georgia,135,Gwinnett County,0,
456,GA,13,Georgia,137,Habersham County,0,
457,GA,13,Georgia,139,Hall County,0,
458,GA,13,Georgia,141,Hancock County,0,
459,GA,13,Georgia,143,Haralson County,0,
460,GA,13,Georgia,145,Harris County,0,
461,GA,13,Georgia,147,Hart County,0,
462,GA,13,Georgia,149,Heard County,0,
463,GA,13,Georgia,151,Henry County,0,
464,GA,13,Georgia,153,Houston County,0,
465,GA,13,Georgia,155,Irwin County,0,
466,GA,13,Georgia,157,Jackson County,0,
467,GA,13,Georgia,159,Jasper County,0,
468,GA,13,Georgia,161,Jeff Davis County,0,
469,GA,13,Georgia,163,Jefferson County,0,
470,GA,13,Georgia,165,Jenkins County,0,
471,GA,13,Georgia,167,Johnson County,0,
472,GA,13,Georgia,169,Jones County,0,
473,GA,13,Georgia,171,Lamar County,0,
474,GA,13,Georgia,173,Lanier County,0,
475,GA,13,Georgia,175,Laurens County,0,
476,GA,13,Georgia,177,Lee County,0,
1832,NY,36,New York,5,Bronx County,1,
478,GA,13,Georgia,181,Lincoln County,0,
479,GA,13,Georgia,183,Long County,0,
480,GA,13,Georgia,185,Lowndes County,0,
481,GA,13,Georgia,187,Lumpkin County,0,
482,GA,13,Georgia,189,McDuffie County,0,
1894,NC,37,North Carolina,5,Alleghany County,1,
484,GA,13,Georgia,193,Macon County,0,
485,GA,13,Georgia,195,Madison County,0,
486,GA,13,Georgia,197,Marion County,0,
487,GA,13,Georgia,199,Meriwether County,0,
488,GA,13,Georgia,201,Miller County,0,
489,GA,13,Georgia,205,Mitchell County,0,
490,GA,13,Georgia,207,Monroe County,0,
491,GA,13,Georgia,209,Montgomery County,0,
492,GA,13,Georgia,211,Morgan County,0,
493,GA,13,Georgia,213,Murray County,0,
494,GA,13,Georgia,215,Muscogee County,0,
495,GA,13,Georgia,217,Newton County,0,
496,GA,13,Georgia,219,Oconee County,0,
497,GA,13,Georgia,221,Oglethorpe County,0,
498,GA,13,Georgia,223,Paulding County,0,
499,GA,13,Georgia,225,Peach County,0,
500,GA,13,Georgia,227,Pickens County,0,
501,GA,13,Georgia,229,Pierce County,0,
502,GA,13,Georgia,231,Pike County,0,
503,GA,13,Georgia,233,Polk County,0,
504,GA,13,Georgia,235,Pulaski County,0,
505,GA,13,Georgia,237,Putnam County,0,
506,GA,13,Georgia,239,Quitman County,0,
2212,OR,41,Oregon,5,Clackamas County,1,
508,GA,13,Georgia,243,Randolph County,0,
509,GA,13,Georgia,245,Richmond County,0,
510,GA,13,Georgia,247,Rockdale County,0,
511,GA,13,Georgia,249,Schley County,0,
512,GA,13,Georgia,251,Screven County,0,
513,GA,13,Georgia,253,Seminole County,0,
514,GA,13,Georgia,255,Spalding County,0,
515,GA,13,Georgia,257,Stephens County,0,
516,GA,13,Georgia,259,Stewart County,0,
517,GA,13,Georgia,261,Sumter County,0,
518,GA,13,Georgia,263,Talbot County,0,
519,GA,13,Georgia,265,Taliaferro County,0,
520,GA,13,Georgia,267,Tattnall County,0,
521,GA,13,Georgia,269,Taylor County,0,
522,GA,13,Georgia,271,Telfair County,0,
523,GA,13,Georgia,273,Terrell County,0,
524,GA,13,Georgia,275,Thomas County,0,
525,GA,13,Georgia,277,Tift County,0,
526,GA,13,Georgia,279,Toombs County,0,
527,GA,13,Georgia,281,Towns County,0,
528,GA,13,Georgia,283,Treutlen County,0,
529,GA,13,Georgia,285,Troup County,0,
530,GA,13,Georgia,287,Turner County,0,
531,GA,13,Georgia,289,Twiggs County,0,
