"","state","state_code","state_name","county_code","county","Visited"
"1","AL","01","Alabama","001","Autauga County",0
"2","AL","01","Alabama","003","Baldwin County",0
"3","AL","01","Alabama","005","Barbour County",0
"4","AL","01","Alabama","007","Bibb County",0
"5","AL","01","Alabama","009","Blount County",0
"6","AL","01","Alabama","011","Bullock County",0
"7","AL","01","Alabama","013","Butler County",0
"8","AL","01","Alabama","015","Calhoun County",0
"9","AL","01","Alabama","017","Chambers County",0
"10","AL","01","Alabama","019","Cherokee County",0
"11","AL","01","Alabama","021","Chilton County",0
"12","AL","01","Alabama","023","Choctaw County",0
"13","AL","01","Alabama","025","Clarke County",0
"14","AL","01","Alabama","027","Clay County",0
"15","AL","01","Alabama","029","Cleburne County",0
"16","AL","01","Alabama","031","Coffee County",0
"17","AL","01","Alabama","033","Colbert County",0
"18","AL","01","Alabama","035","Conecuh County",0
"19","AL","01","Alabama","037","Coosa County",0
"20","AL","01","Alabama","039","Covington County",0
"21","AL","01","Alabama","041","Crenshaw County",0
"22","AL","01","Alabama","043","Cullman County",0
"23","AL","01","Alabama","045","Dale County",0
"24","AL","01","Alabama","047","Dallas County",0
"25","AL","01","Alabama","049","DeKalb County",0
"26","AL","01","Alabama","051","Elmore County",0
"27","AL","01","Alabama","053","Escambia County",0
"28","AL","01","Alabama","055","Etowah County",0
"29","AL","01","Alabama","057","Fayette County",0
"30","AL","01","Alabama","059","Franklin County",0
"31","AL","01","Alabama","061","Geneva County",0
"32","AL","01","Alabama","063","Greene County",0
"33","AL","01","Alabama","065","Hale County",0
"34","AL","01","Alabama","067","Henry County",0
"35","AL","01","Alabama","069","Houston County",0
"36","AL","01","Alabama","071","Jackson County",0
"37","AL","01","Alabama","073","Jefferson County",0
"38","AL","01","Alabama","075","Lamar County",0
"39","AL","01","Alabama","077","Lauderdale County",0
"40","AL","01","Alabama","079","Lawrence County",0
"41","AL","01","Alabama","081","Lee County",0
"42","AL","01","Alabama","083","Limestone County",0
"43","AL","01","Alabama","085","Lowndes County",0
"44","AL","01","Alabama","087","Macon County",0
"45","AL","01","Alabama","089","Madison County",0
"46","AL","01","Alabama","091","Marengo County",0
"47","AL","01","Alabama","093","Marion County",0
"48","AL","01","Alabama","095","Marshall County",0
"49","AL","01","Alabama","097","Mobile County",0
"50","AL","01","Alabama","099","Monroe County",0
"51","AL","01","Alabama","101","Montgomery County",0
"52","AL","01","Alabama","103","Morgan County",0
"53","AL","01","Alabama","105","Perry County",0
"54","AL","01","Alabama","107","Pickens County",0
"55","AL","01","Alabama","109","Pike County",0
"56","AL","01","Alabama","111","Randolph County",0
"57","AL","01","Alabama","113","Russell County",0
"58","AL","01","Alabama","115","St. Clair County",0
"59","AL","01","Alabama","117","Shelby County",0
"60","AL","01","Alabama","119","Sumter County",0
"61","AL","01","Alabama","121","Talladega County",0
"62","AL","01","Alabama","123","Tallapoosa County",0
"63","AL","01","Alabama","125","Tuscaloosa County",0
"64","AL","01","Alabama","127","Walker County",0
"65","AL","01","Alabama","129","Washington County",0
"66","AL","01","Alabama","131","Wilcox County",0
"67","AL","01","Alabama","133","Winston County",0
"68","AK","02","Alaska","013","Aleutians East Borough",0
"69","AK","02","Alaska","016","Aleutians West Census Area",0
"70","AK","02","Alaska","020","Anchorage Municipality",0
"71","AK","02","Alaska","050","Bethel Census Area",0
"72","AK","02","Alaska","060","Bristol Bay Borough",0
"73","AK","02","Alaska","068","Denali Borough",0
"74","AK","02","Alaska","070","Dillingham Census Area",0
"75","AK","02","Alaska","090","Fairbanks North Star Borough",0
"76","AK","02","Alaska","100","Haines Borough",0
"77","AK","02","Alaska","105","Hoonah-Angoon Census Area",0
"78","AK","02","Alaska","110","Juneau City and Borough",0
"79","AK","02","Alaska","122","Kenai Peninsula Borough",0
"80","AK","02","Alaska","130","Ketchikan Gateway Borough",0
"81","AK","02","Alaska","150","Kodiak Island Borough",0
"82","AK","02","Alaska","158","Kusilvak Census Area",0
"83","AK","02","Alaska","164","Lake and Peninsula Borough",0
"84","AK","02","Alaska","170","Matanuska-Susitna Borough",0
"85","AK","02","Alaska","180","Nome Census Area",0
