state,state_code,state_name,county_code,county_name,visited,date
UT,49,Utah,3,Box Elder County,1,5/24/19
UT,49,Utah,11,Davis County,1,5/24/19
UT,49,Utah,35,Salt Lake County,1,5/24/19
UT,49,Utah,57,Weber County,1,5/24/19
UT,49,Utah,23,Juab County,1,5/25/19
UT,49,Utah,27,Millard County,1,5/25/19
UT,49,Utah,31,Piute County,1,5/25/19
UT,49,Utah,41,Sevier County,1,5/25/19
UT,49,Utah,49,Utah County,1,5/25/19
UT,49,Utah,55,Wayne County,1,5/25/19
UT,49,Utah,43,Summit County,1,5/26/19
TN,47,Tennessee,59,Greene County,1,6/29/19
ME,23,Maine,9,Hancock County,1,8/10/19
ME,23,Maine,11,Kennebec County,1,8/10/19
ME,23,Maine,19,Penobscot County,1,8/10/19
ME,23,Maine,25,Somerset County,1,8/10/19
ME,23,Maine,27,Waldo County,1,8/10/19
ME,23,Maine,13,Knox County,1,8/13/19
ME,23,Maine,15,Lincoln County,1,8/13/19
AL,1,Alabama,1,Autauga County,0,
AL,1,Alabama,3,Baldwin County,0,
AL,1,Alabama,5,Barbour County,0,
AL,1,Alabama,7,Bibb County,0,
AL,1,Alabama,9,Blount County,0,
AL,1,Alabama,11,Bullock County,0,
AL,1,Alabama,13,Butler County,0,
AL,1,Alabama,15,Calhoun County,0,
AL,1,Alabama,17,Chambers County,0,
AL,1,Alabama,19,Cherokee County,0,
AL,1,Alabama,21,Chilton County,0,
AL,1,Alabama,23,Choctaw County,0,
AL,1,Alabama,25,Clarke County,0,
AL,1,Alabama,27,Clay County,0,
AL,1,Alabama,29,Cleburne County,0,
AL,1,Alabama,31,Coffee County,0,
AL,1,Alabama,33,Colbert County,0,
AL,1,Alabama,35,Conecuh County,0,
AL,1,Alabama,37,Coosa County,0,
AL,1,Alabama,39,Covington County,0,
AL,1,Alabama,41,Crenshaw County,0,
AL,1,Alabama,43,Cullman County,0,
AL,1,Alabama,45,Dale County,0,
AL,1,Alabama,47,Dallas County,0,
AL,1,Alabama,49,DeKalb County,0,
AL,1,Alabama,51,Elmore County,0,
AL,1,Alabama,53,Escambia County,0,
AL,1,Alabama,55,Etowah County,0,
AL,1,Alabama,57,Fayette County,0,
AL,1,Alabama,59,Franklin County,0,
AL,1,Alabama,61,Geneva County,0,
AL,1,Alabama,63,Greene County,0,
AL,1,Alabama,65,Hale County,0,
AL,1,Alabama,67,Henry County,0,
AL,1,Alabama,69,Houston County,0,
AL,1,Alabama,71,Jackson County,0,
CT,9,Connecticut,1,Fairfield County,1,
AL,1,Alabama,75,Lamar County,0,
AL,1,Alabama,77,Lauderdale County,0,
AL,1,Alabama,79,Lawrence County,0,
AL,1,Alabama,81,Lee County,0,
AL,1,Alabama,83,Limestone County,0,
AL,1,Alabama,85,Lowndes County,0,
AL,1,Alabama,87,Macon County,0,
AL,1,Alabama,89,Madison County,0,
AL,1,Alabama,91,Marengo County,0,
AL,1,Alabama,93,Marion County,0,
AL,1,Alabama,95,Marshall County,0,
AL,1,Alabama,97,Mobile County,0,
AL,1,Alabama,99,Monroe County,0,
AL,1,Alabama,101,Montgomery County,0,
AL,1,Alabama,103,Morgan County,0,
AL,1,Alabama,105,Perry County,0,
AL,1,Alabama,107,Pickens County,0,
AL,1,Alabama,109,Pike County,0,
AL,1,Alabama,111,Randolph County,0,
AL,1,Alabama,113,Russell County,0,
AL,1,Alabama,115,St. Clair County,0,
AL,1,Alabama,117,Shelby County,0,
