state,state_code,state_name,county_code,county_name,date,notes
AK,2,Alaska,13,Aleutians East,,
AK,2,Alaska,16,Aleutians West,,
AK,2,Alaska,20,Anchorage,,
AK,2,Alaska,50,Bethel,,
AK,2,Alaska,60,Bristol Bay,,
AK,2,Alaska,63,Chugach,,
AK,2,Alaska,66,Copper River,,
AK,2,Alaska,68,Denali,,
AK,2,Alaska,70,Dillingham,,
AK,2,Alaska,90,Fairbanks North Star,,
AK,2,Alaska,100,Haines,,
AK,2,Alaska,105,Hoonah-Angoon,,
AK,2,Alaska,110,Juneau,,
AK,2,Alaska,122,Kenai Peninsula,,
AK,2,Alaska,130,Ketchikan Gateway,,
AK,2,Alaska,150,Kodiak Island,,
AK,2,Alaska,158,Kusilvak,,
AK,2,Alaska,164,Lake and Peninsula,,
AK,2,Alaska,170,Matanuska-Susitna,,
AK,2,Alaska,180,Nome,,
AK,2,Alaska,185,North Slope,,
AK,2,Alaska,188,Northwest Arctic,,
AK,2,Alaska,195,Petersburg,,
AK,2,Alaska,198,Prince of Wales-Hyder,,
AK,2,Alaska,220,Sitka,,
AK,2,Alaska,230,Skagway,,
AK,2,Alaska,240,Southeast Fairbanks,,
AK,2,Alaska,275,Wrangell,,
AK,2,Alaska,282,Yakutat,,
AK,2,Alaska,290,Yukon-Koyukuk,,
AL,1,Alabama,1,Autauga,,
AL,1,Alabama,3,Baldwin,,
AL,1,Alabama,5,Barbour,,
AL,1,Alabama,7,Bibb,,
AL,1,Alabama,9,Blount,,
AL,1,Alabama,11,Bullock,,
AL,1,Alabama,13,Butler,,
AL,1,Alabama,15,Calhoun,,
AL,1,Alabama,17,Chambers,,
AL,1,Alabama,19,Cherokee,,
AL,1,Alabama,21,Chilton,,
AL,1,Alabama,23,Choctaw,,
AL,1,Alabama,25,Clarke,,
AL,1,Alabama,27,Clay,,
AL,1,Alabama,29,Cleburne,,
AL,1,Alabama,31,Coffee,,
AL,1,Alabama,33,Colbert,,
AL,1,Alabama,35,Conecuh,,
AL,1,Alabama,37,Coosa,,
AL,1,Alabama,39,Covington,,
AL,1,Alabama,41,Crenshaw,,
AL,1,Alabama,43,Cullman,,
AL,1,Alabama,45,Dale,,
AL,1,Alabama,47,Dallas,,
AL,1,Alabama,49,DeKalb,,
AL,1,Alabama,51,Elmore,,
AL,1,Alabama,53,Escambia,,
AL,1,Alabama,55,Etowah,,
AL,1,Alabama,57,Fayette,,
AL,1,Alabama,59,Franklin,,
AL,1,Alabama,61,Geneva,,
AL,1,Alabama,63,Greene,,
AL,1,Alabama,65,Hale,,
AL,1,Alabama,67,Henry,,
AL,1,Alabama,69,Houston,,
AL,1,Alabama,71,Jackson,,
AL,1,Alabama,73,Jefferson,1/1/70,
AL,1,Alabama,75,Lamar,,
AL,1,Alabama,77,Lauderdale,,
AL,1,Alabama,79,Lawrence,,
AL,1,Alabama,81,Lee,,
AL,1,Alabama,83,Limestone,,
AL,1,Alabama,85,Lowndes,,
AL,1,Alabama,87,Macon,,
AL,1,Alabama,89,Madison,,
AL,1,Alabama,91,Marengo,,
AL,1,Alabama,93,Marion,,
AL,1,Alabama,95,Marshall,,
AL,1,Alabama,97,Mobile,,
AL,1,Alabama,99,Monroe,,
AL,1,Alabama,101,Montgomery,,
AL,1,Alabama,103,Morgan,,
AL,1,Alabama,105,Perry,,
AL,1,Alabama,107,Pickens,,
AL,1,Alabama,109,Pike,,
AL,1,Alabama,111,Randolph,,
AL,1,Alabama,113,Russell,,
AL,1,Alabama,117,Shelby,,
AL,1,Alabama,115,St. Clair,,
AL,1,Alabama,119,Sumter,,
AL,1,Alabama,121,Talladega,,
AL,1,Alabama,123,Tallapoosa,,
AL,1,Alabama,125,Tuscaloosa,,
AL,1,Alabama,127,Walker,,
AL,1,Alabama,129,Washington,,
AL,1,Alabama,131,Wilcox,,
AL,1,Alabama,133,Winston,,
